,user_id,curso_id,rating,progreso
54,user_13,course_12,4.8,90.97
55,user_13,course_18,2.5,14.38
56,user_13,course_14,2.9,16.91
57,user_13,course_16,3.0,66.78
58,user_13,course_20,2.5,62.03
59,user_13,course_17,3.5,53.27
60,user_14,course_10,3.6,6.91
61,user_14,course_2,1.1,67.38
62,user_14,course_18,4.1,38.03
63,user_14,course_6,2.1,48.59
64,user_14,course_19,3.9,13.13
65,user_14,course_12,1.9,86.38
66,user_14,course_20,1.1,64.79
67,user_14,course_17,4.4,41.29
68,user_14,course_9,2.7,21.73
69,user_15,course_17,1.1,18.48
70,user_15,course_13,3.4,42.16
71,user_15,course_10,3.7,72.19
72,user_15,course_1,2.9,14.69
73,user_15,course_9,2.1,88.22
74,user_15,course_14,1.6,79.46
75,user_15,course_18,4.9,24.98
76,user_15,course_6,4.7,89.47
77,user_15,course_11,3.0,53.2
78,user_15,course_12,4.6,12.1
79,user_16,course_1,3.1,53.19
80,user_16,course_7,2.2,73.92
81,user_16,course_10,4.4,8.62
82,user_16,course_18,1.5,70.62
83,user_16,course_15,3.2,66.61
84,user_16,course_12,1.5,51.26
85,user_16,course_2,1.6,90.12
86,user_16,course_14,2.0,71.58
87,user_16,course_17,1.3,86.09
88,user_17,course_16,3.1,69.76
89,user_17,course_1,1.5,29.55
90,user_17,course_5,4.4,21.43
91,user_17,course_12,3.0,73.24
92,user_17,course_15,4.6,81.88
93,user_17,course_14,4.4,16.66
94,user_17,course_11,2.5,63.92
95,user_17,course_10,1.4,29.58
96,user_18,course_10,3.2,80.9
97,user_18,course_4,4.4,91.75
98,user_18,course_5,3.6,18.0
99,user_18,course_7,3.1,43.78
100,user_18,course_13,4.3,21.33
101,user_18,course_20,1.7,2.13
102,user_18,course_11,3.5,35.64
103,user_18,course_16,2.4,30.89
104,user_18,course_14,2.6,84.45
105,user_18,course_3,3.0,45.91
106,user_19,course_19,1.3,6.03
107,user_19,course_4,1.5,43.64
108,user_20,course_12,4.9,30.22
109,user_20,course_1,2.4,55.32
110,user_20,course_9,1.2,2.64
111,user_20,course_17,4.7,7.36
112,user_20,course_2,1.8,45.02
113,user_20,course_19,1.9,76.05
114,user_20,course_8,4.3,27.13
115,user_20,course_6,3.1,68.99
116,user_21,course_17,5.0,89.99
117,user_22,course_19,2.6,51.94
118,user_22,course_20,3.1,61.93
119,user_23,course_6,2.9,93.37
120,user_23,course_5,3.6,41.96
121,user_23,course_19,4.8,90.22
122,user_23,course_4,1.2,56.74
123,user_24,course_6,2.4,33.48
124,user_24,course_8,1.8,77.78
125,user_25,course_14,2.1,87.25
126,user_25,course_19,1.5,19.54
127,user_25,course_17,3.3,55.7
128,user_25,course_13,2.5,39.8
129,user_25,course_16,3.8,64.61
130,user_25,course_20,4.0,26.91
131,user_25,course_2,1.2,40.18
132,user_26,course_2,3.4,17.4
133,user_26,course_20,3.5,20.74
134,user_26,course_15,4.3,7.85
135,user_27,course_11,3.4,46.47
136,user_27,course_9,2.5,91.86
137,user_27,course_15,3.4,52.5
138,user_28,course_7,3.5,53.18
139,user_28,course_3,1.5,28.16
140,user_28,course_4,2.7,26.19
141,user_28,course_1,4.4,60.87
142,user_28,course_5,3.8,13.58
143,user_28,course_13,4.0,18.62
144,user_28,course_14,3.3,98.12
145,user_28,course_10,3.7,31.81
146,user_28,course_11,3.8,49.13
147,user_28,course_19,2.6,36.86
148,user_29,course_8,3.4,95.34
149,user_29,course_5,4.9,23.75
150,user_29,course_15,1.0,80.48
151,user_29,course_10,2.8,76.32
152,user_29,course_2,4.4,81.07
153,user_29,course_14,4.0,32.03
154,user_29,course_3,4.8,89.18
155,user_30,course_1,1.2,24.41
156,user_30,course_8,2.2,3.86
157,user_30,course_12,3.8,85.72
158,user_30,course_13,1.3,96.47
159,user_30,course_19,4.9,91.61
160,user_30,course_4,2.9,96.67
161,user_30,course_9,2.0,10.08
162,user_30,course_15,1.9,96.05
163,user_30,course_7,1.4,49.84
164,user_30,course_10,1.8,2.26
165,user_31,course_3,3.8,24.52
166,user_32,course_5,4.2,88.09
167,user_32,course_6,4.8,57.07
168,user_32,course_17,1.9,2.64
169,user_32,course_19,2.3,23.65
170,user_32,course_8,2.7,34.07
171,user_32,course_12,2.4,36.8
172,user_32,course_14,3.5,91.03
173,user_32,course_2,4.6,42.15
174,user_32,course_11,4.0,14.81
175,user_33,course_13,4.5,40.66
176,user_33,course_10,1.7,2.31
177,user_34,course_6,1.6,81.89
178,user_34,course_2,3.1,55.4
179,user_34,course_20,2.5,21.17
180,user_35,course_5,2.7,4.94
181,user_35,course_19,2.0,27.61
182,user_35,course_15,2.2,31.82
183,user_35,course_7,4.8,43.49
184,user_35,course_1,2.8,55.35
185,user_35,course_18,1.5,19.01
186,user_35,course_4,2.2,89.73
187,user_35,course_9,4.9,94.84
188,user_35,course_3,1.3,75.87
189,user_35,course_16,4.6,58.12
190,user_36,course_2,4.2,7.11
191,user_36,course_17,4.4,6.81
192,user_36,course_11,3.3,24.18
193,user_36,course_20,1.3,94.67
194,user_36,course_12,4.5,52.55
195,user_36,course_5,4.0,94.83
196,user_36,course_19,4.1,13.08
197,user_36,course_10,2.7,11.17
198,user_37,course_14,1.3,50.19
199,user_37,course_4,4.4,82.92
200,user_37,course_15,1.4,77.99
201,user_38,course_16,2.5,96.53
202,user_38,course_17,3.6,56.04
203,user_38,course_8,3.2,42.6
204,user_38,course_19,4.5,50.18
205,user_38,course_13,2.3,28.43
206,user_38,course_3,4.2,54.34
207,user_38,course_20,3.7,41.7
208,user_38,course_12,3.6,27.34
209,user_38,course_5,1.2,18.88
210,user_38,course_15,2.5,42.2
211,user_39,course_7,3.9,40.28
212,user_39,course_3,3.8,78.37
213,user_39,course_8,2.9,17.37
214,user_39,course_15,2.3,90.38
215,user_39,course_9,3.4,98.17
216,user_40,course_8,2.9,61.88
217,user_40,course_4,1.3,12.5
218,user_40,course_1,3.5,86.25
219,user_40,course_17,1.3,96.67
220,user_41,course_13,2.9,70.29
221,user_41,course_14,1.6,17.81
222,user_41,course_7,3.9,91.53
223,user_41,course_6,2.5,88.55
224,user_41,course_15,3.6,47.34
225,user_41,course_10,2.1,7.38
226,user_41,course_2,3.4,7.01
227,user_41,course_8,4.2,24.81
228,user_41,course_4,2.0,8.46
229,user_41,course_1,4.5,86.73
230,user_42,course_9,3.9,5.55
231,user_42,course_16,1.8,88.95
232,user_42,course_4,2.2,5.25
233,user_42,course_13,4.7,15.41
234,user_43,course_7,1.0,34.12
235,user_43,course_10,3.0,42.36
236,user_43,course_11,1.6,88.06
237,user_43,course_6,3.3,22.3
238,user_43,course_16,2.1,43.5
239,user_43,course_3,3.3,58.79
240,user_43,course_19,3.1,58.19
241,user_44,course_5,4.2,5.75
242,user_44,course_20,2.1,22.91
243,user_44,course_1,2.5,75.84
244,user_44,course_11,1.1,42.5
245,user_44,course_13,4.8,28.21
246,user_44,course_9,2.3,6.24
247,user_45,course_7,4.4,74.82
248,user_45,course_10,3.3,69.41
249,user_45,course_8,4.4,63.09
250,user_45,course_15,3.3,30.8
251,user_45,course_14,3.9,14.98
252,user_45,course_6,3.3,95.97
253,user_46,course_3,3.8,30.29
254,user_46,course_12,2.1,90.42
255,user_46,course_17,3.4,49.88
256,user_46,course_2,2.4,27.84
257,user_46,course_19,4.0,90.13
258,user_46,course_14,1.3,29.61
259,user_46,course_9,1.8,98.09
260,user_46,course_18,4.6,14.66
261,user_46,course_5,3.9,64.74
262,user_47,course_11,2.7,34.78
263,user_47,course_3,3.5,59.47
264,user_47,course_6,2.5,77.17
265,user_48,course_20,2.5,13.45
266,user_48,course_13,3.3,28.81
267,user_48,course_6,2.0,26.11
268,user_48,course_11,3.5,64.44
269,user_48,course_2,2.5,83.85
270,user_48,course_3,2.4,51.4
271,user_48,course_8,3.1,95.14
272,user_48,course_15,3.9,41.96
273,user_48,course_10,2.7,52.55
274,user_48,course_12,3.7,4.16
275,user_49,course_16,2.5,56.72
276,user_49,course_17,2.6,57.45
277,user_49,course_20,3.2,78.69
278,user_49,course_15,4.4,43.4
279,user_49,course_13,4.7,14.25
280,user_50,course_8,4.3,6.36
281,user_50,course_12,2.1,10.51
282,user_50,course_4,2.1,97.0
283,user_50,course_6,2.3,38.07
284,user_50,course_20,1.4,16.5
