,user_id,curso_id,rating,progress
128,user_25,course_18,4.8,54.86
129,user_25,course_9,1.5,90.93
130,user_25,course_12,4.0,12.65
131,user_25,course_13,1.8,77.92
132,user_25,course_10,1.7,11.55
133,user_25,course_4,3.4,90.4
134,user_25,course_16,3.0,89.19
135,user_25,course_7,4.0,26.69
136,user_26,course_12,2.4,26.88
137,user_26,course_7,1.9,53.33
138,user_26,course_10,2.2,12.82
139,user_26,course_15,3.6,65.84
140,user_26,course_18,2.1,71.84
141,user_26,course_19,2.0,8.08
142,user_26,course_16,2.4,69.86
143,user_26,course_3,1.9,35.21
144,user_26,course_1,1.0,69.5
145,user_26,course_6,3.0,47.48
146,user_27,course_3,1.4,55.57
147,user_27,course_13,2.1,48.73
148,user_27,course_11,4.5,28.88
149,user_27,course_10,4.4,31.71
150,user_28,course_18,4.8,26.19
151,user_28,course_17,3.1,45.32
152,user_29,course_9,3.4,18.06
153,user_29,course_4,1.7,23.47
154,user_29,course_6,2.6,60.66
155,user_30,course_9,2.7,51.1
156,user_30,course_13,2.3,37.73
157,user_30,course_12,1.0,4.51
158,user_31,course_5,3.9,97.26
159,user_31,course_17,2.8,49.09
160,user_31,course_20,2.0,26.6
161,user_31,course_8,1.3,56.24
162,user_31,course_2,4.4,13.44
163,user_31,course_4,1.7,46.65
164,user_31,course_18,5.0,86.64
165,user_31,course_3,4.0,89.09
166,user_32,course_10,2.9,83.03
167,user_32,course_17,4.7,47.37
168,user_32,course_20,4.5,90.17
169,user_32,course_5,3.0,0.86
170,user_32,course_6,2.5,2.94
171,user_32,course_19,1.8,90.16
172,user_33,course_9,1.0,38.4
173,user_33,course_16,4.1,63.53
174,user_33,course_5,4.7,28.36
175,user_33,course_8,4.9,56.19
176,user_33,course_10,2.2,96.83
177,user_33,course_6,2.7,29.68
178,user_33,course_1,3.6,68.42
179,user_33,course_11,3.6,36.23
180,user_33,course_12,2.6,25.75
181,user_34,course_2,4.2,14.61
182,user_34,course_9,1.4,67.73
183,user_34,course_16,4.5,19.32
184,user_34,course_3,3.0,79.43
185,user_34,course_6,3.7,67.89
186,user_34,course_20,4.7,71.85
187,user_34,course_12,3.1,93.09
188,user_34,course_14,4.8,74.4
189,user_34,course_18,4.8,34.74
190,user_34,course_19,2.2,55.61
191,user_35,course_19,3.0,79.17
192,user_35,course_13,3.1,3.95
193,user_35,course_15,4.0,52.78
194,user_35,course_16,4.0,63.01
195,user_35,course_18,3.3,78.41
196,user_35,course_8,3.3,1.33
197,user_35,course_6,3.3,38.23
198,user_35,course_5,4.2,39.1
199,user_35,course_11,1.2,23.48
200,user_35,course_2,2.3,60.35
201,user_36,course_3,1.1,60.55
202,user_37,course_17,3.0,45.15
203,user_37,course_10,4.4,43.48
204,user_37,course_8,4.3,69.3
205,user_38,course_12,2.4,66.9
206,user_38,course_15,2.5,79.57
207,user_38,course_3,2.9,4.09
208,user_38,course_14,4.0,38.32
209,user_38,course_18,3.1,16.02
210,user_38,course_11,3.3,58.38
211,user_38,course_8,3.3,76.07
212,user_38,course_1,3.8,53.46
213,user_38,course_9,2.7,33.78
214,user_38,course_13,4.3,72.0
215,user_39,course_8,3.2,49.76
216,user_39,course_10,2.6,71.05
217,user_39,course_6,4.0,19.31
218,user_39,course_14,5.0,69.41
219,user_40,course_7,4.8,98.86
220,user_40,course_16,1.1,18.56
221,user_40,course_1,1.7,35.15
222,user_40,course_9,1.1,70.43
223,user_40,course_4,1.9,9.04
224,user_40,course_19,1.7,72.08
225,user_41,course_12,1.4,5.8
226,user_41,course_4,2.6,3.81
227,user_41,course_15,3.3,80.57
228,user_41,course_16,1.2,66.81
229,user_41,course_14,3.4,81.6
230,user_41,course_3,3.5,36.61
231,user_42,course_9,4.9,17.48
232,user_42,course_6,2.0,15.96
233,user_42,course_14,4.5,62.28
234,user_42,course_12,1.2,37.27
235,user_42,course_15,4.1,41.47
236,user_42,course_19,1.8,54.63
237,user_42,course_17,2.5,6.64
238,user_42,course_8,4.8,46.69
239,user_42,course_13,2.3,81.33
240,user_43,course_17,4.7,89.88
241,user_43,course_3,3.9,8.82
242,user_43,course_16,4.5,38.44
243,user_43,course_5,1.2,21.28
244,user_43,course_12,2.7,25.92
245,user_43,course_4,1.6,12.0
246,user_43,course_15,2.2,45.02
247,user_44,course_1,1.0,89.69
248,user_45,course_3,1.1,31.37
249,user_45,course_6,4.2,79.32
250,user_45,course_13,2.2,86.38
251,user_46,course_11,2.3,50.35
252,user_46,course_3,2.8,27.07
253,user_46,course_19,1.5,12.65
254,user_46,course_13,4.6,47.36
255,user_46,course_5,3.9,60.72
256,user_46,course_18,3.6,85.74
257,user_46,course_4,1.2,3.43
258,user_47,course_3,2.2,60.97
259,user_47,course_1,1.7,85.74
260,user_47,course_14,4.7,67.68
261,user_47,course_8,3.1,14.66
262,user_47,course_9,2.8,46.4
263,user_47,course_12,3.6,16.26
264,user_47,course_16,1.5,54.66
265,user_47,course_19,3.6,36.21
266,user_48,course_15,3.2,56.34
267,user_48,course_13,2.0,50.66
268,user_48,course_2,3.4,48.35
269,user_48,course_8,1.9,21.23
270,user_48,course_4,3.5,70.86
271,user_48,course_17,3.5,99.34
272,user_48,course_19,4.2,60.24
273,user_48,course_14,4.3,17.75
274,user_48,course_6,4.6,8.21
275,user_48,course_7,1.2,91.3
276,user_49,course_10,3.2,45.59
277,user_49,course_20,4.0,36.55
278,user_49,course_6,1.4,10.31
279,user_49,course_14,2.6,94.93
280,user_49,course_17,4.5,7.77
281,user_49,course_19,1.9,64.27
282,user_50,course_1,3.3,7.24
283,user_50,course_9,1.8,91.64
284,user_50,course_5,1.7,32.82
285,user_50,course_18,4.7,5.94
286,user_50,course_7,3.0,72.98
